TimeDomainData,recording,SampleRateInHz
-25.605337703,0,250
-22.3908147879,0,250
-25.2728008498,0,250
-12.7472460426,0,250
-14.0773934558,0,250
-5.5422808881,0,250
-9.7544143631,0,250
-2.8819860618,0,250
-5.6531265059,0,250
-0.1108456178,0,250
-3.3253685329,0,250
2.1060667375,0,250
-1.9952211197,0,250
6.4290458302,0,250
1.1084561776,0,250
6.983273919,0,250
2.9928316796,0,250
4.8772071815,0,250
2.4386035908,0,250
10.4194880696,0,250
5.6531265059,0,250
13.4123197492,0,250
9.8652599808,0,250
13.4123197492,0,250
7.9808844789,0,250
12.4147091894,0,250
5.7639721236,0,250
10.6411793052,0,250
4.5446703282,0,250
9.5327231275,0,250
5.4314352703,0,250
9.9761055986,0,250
4.5446703282,0,250
8.5351125677,0,250
4.212133475,0,250
9.0893406565,0,250
3.2145229151,0,250
7.7591932433,0,250
